symbol,name,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,ma_bull,weekly_cross,ml_score,sig_b1,sig_volume_b1,sig_zhixing,close,pct_change,yellow_line,above_yellow,float_mv_yi,sector,concepts,sector_score
000001,,0.0,1.0,0.7745,0.4613,0.8687,0.0,0.2385,0.0,0.919,0.0,0.0,1.0,0.0,0.3999,False,False,False,11.24,2.74,10.7,True,2181.2,金融行业,融资融券/外资背景/本月解禁,45.1
000002,,0.5353,1.0,0.8077,0.0,0.0,0.5025,0.2021,0.3,0.0,0.0,0.0,0.0,0.0,0.5446,False,False,False,3.16,1.28,3.71,False,307.1,房地产,含H股/融资融券/前海概念,22.3
000004,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2717,False,False,False,2.76,0.0,4.04,False,3.5,生物制药,深圳本地,29.4
000006,,0.5256,1.0,0.7367,0.2677,0.0,0.7723,0.1071,0.6,0.0,0.0,0.0,0.0,0.7,0.6119,False,False,False,7.85,0.0,9.16,False,106.0,房地产,前海概念/深圳本地,22.3
000007,,0.0,1.0,0.7607,0.2529,0.646,0.6145,0.2146,0.3,1.0,0.0,0.0,1.0,0.0,0.345,False,False,False,14.08,1.08,12.96,True,48.8,酒店旅游,稀缺资源/涉矿概念/业绩预降,26.8
000008,,0.6474,1.0,0.8333,0.1146,0.0,0.749,0.1958,0.3,0.0,0.0,0.0,0.0,0.0,0.4006,False,False,False,2.45,2.08,2.68,False,66.6,综合行业,业绩预升/深圳本地,23.1
000009,,0.2647,0.9891,0.7372,0.0,0.0,0.2468,0.1649,0.3,0.0,0.0,1.0,0.0,0.0,0.3502,False,False,False,7.06,3.07,8.04,False,181.9,房地产,三板精选/军民融合/低碳经济,22.3
000010,,0.0893,1.0,0.6043,0.0,0.0,0.6309,0.3889,0.9,0.0,0.0,0.0,1.0,0.0,0.393,False,False,False,2.21,0.91,2.8,False,19.2,建筑建材,金融参股/深圳本地/股期概念,18.3
000011,,0.0,0.7582,0.4437,0.0,0.0,0.3685,0.2805,0.6,0.1607,0.0,0.0,0.0,0.0,0.5106,False,False,False,7.51,4.45,7.84,False,39.5,房地产,含B股/前海概念/业绩预升,22.3
000012,,0.6238,1.0,0.5752,0.3377,0.5218,0.3941,0.5004,0.6,0.0639,0.0,0.0,1.0,0.0,0.46,False,False,False,4.0,-1.96,4.27,False,78.4,玻璃行业,光伏/光伏概念/低碳经济,43.0
000014,,0.4657,1.0,0.7701,0.0,0.0,0.7606,0.1019,0.0,0.0,0.0,0.0,0.0,0.0,0.4078,False,False,False,10.31,1.58,11.94,False,25.0,房地产,前海概念/深圳本地,22.3
000016,,0.9135,1.0,0.739,0.0422,0.0,0.8409,0.2778,0.0,0.0,0.0,0.0,0.0,1.0,0.6367,False,False,False,2.84,1.07,3.37,False,45.3,家电行业,含B股/前海概念/业绩预升,34.8
000017,,0.2114,1.0,0.7211,0.0,0.0,0.3443,0.1006,0.0,0.0,0.0,0.0,0.0,0.0,0.5002,False,False,False,5.14,2.39,6.03,False,22.7,,含B股/深圳本地,
000019,,0.0,1.0,0.6539,0.0,0.0,0.478,0.1437,0.0,0.1842,0.0,0.0,0.0,0.0,0.4534,False,False,False,6.59,0.61,6.95,False,27.4,食品行业,含B股/深圳本地,28.6
000020,,0.525,1.0,0.8118,0.0,0.0,0.8216,0.1799,0.3,0.0,0.0,0.0,0.0,0.0,0.6678,False,False,False,11.69,0.0,13.79,False,21.2,电子器件,含B股/前海概念/业绩预降,39.8
000021,,0.0,0.6513,0.3603,1.0,1.0,0.5022,0.5439,0.3,1.0,1.0,0.0,0.0,1.0,0.306,False,False,False,37.09,-5.09,34.88,True,583.8,电子信息,华为概念/智能电网/融资融券,14.0
000025,,0.0,1.0,0.869,0.1106,0.1711,0.3074,0.1611,0.6,0.2985,0.0,0.0,0.5,0.0,0.4055,False,False,False,15.22,-0.33,15.69,False,59.8,汽车制造,含B股/前海概念/深圳本地,17.3
000026,,0.8449,1.0,0.5676,1.0,1.0,0.8154,0.4389,0.0,0.8548,1.0,0.0,0.0,0.7,0.3444,True,False,False,20.41,-2.67,19.93,True,74.4,商业百货,国防军工/军工航天/含B股,16.6
