symbol,name,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,ma_bull,weekly_cross,ml_score,sig_b1,sig_volume_b1,sig_zhixing,sig_needle,close,pct_change,yellow_line,above_yellow,float_mv_yi,sector,concepts,sector_score
000001,,0.0,1.0,0.8734,0.504,0.9411,0.5768,0.2148,0.0,0.7074,0.0,0.0,1.0,0.0,0.3889,False,False,False,False,10.94,-1.08,10.72,True,2122.9,金融行业,融资融券/外资背景/本月解禁,38.4
000002,,0.7137,1.0,0.8509,0.0,0.0,0.6368,0.1604,0.3,0.0,0.0,0.0,0.0,0.0,0.4567,False,False,False,False,3.07,-1.92,3.66,False,298.3,房地产,含H股/融资融券/前海概念,29.6
000004,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2707,False,False,False,False,2.76,0.0,3.73,False,3.5,生物制药,深圳本地,24.5
000006,,0.1704,1.0,0.6362,0.1315,0.0,0.6089,0.1463,0.6,0.0,0.0,0.0,0.0,0.7,0.4789,False,False,False,False,7.93,0.63,9.04,False,107.1,房地产,前海概念/深圳本地,29.6
000007,,0.0,1.0,0.7965,0.403,1.0,0.8139,0.2183,0.3,1.0,0.0,0.0,1.0,0.0,0.2896,False,False,False,False,14.34,1.77,13.01,True,49.7,酒店旅游,稀缺资源/涉矿概念/业绩预降,27.5
000008,,0.0,1.0,0.8177,0.0763,0.0,0.7996,0.1811,0.3,0.1753,0.0,0.0,0.0,0.0,0.3983,False,False,False,False,2.54,-0.78,2.68,False,69.0,综合行业,业绩预升/深圳本地,20.3
000009,,0.0,1.0,0.7322,0.0,0.0,0.2317,0.1618,0.3,0.0,0.0,0.0,0.0,0.0,0.3799,False,False,False,False,7.08,1.58,7.96,False,182.4,房地产,三板精选/军民融合/低碳经济,29.6
000010,,0.8534,1.0,0.5912,0.0,0.0,0.0,0.3889,0.0,0.0,0.0,0.0,0.5,0.0,0.5658,False,False,False,False,2.1,-0.94,2.76,False,18.3,建筑建材,金融参股/深圳本地/股期概念,23.8
000011,,0.0,1.0,0.781,0.0,0.0,0.6738,0.3667,0.6,0.1529,0.0,0.0,0.5,0.0,0.3311,False,False,False,False,7.45,-2.1,7.81,False,39.2,房地产,含B股/前海概念/业绩预升,29.6
000012,,0.0,0.0,0.2376,0.3464,0.7368,0.6244,0.5899,0.6,0.8777,0.0,0.0,0.5,0.0,0.5558,False,False,False,False,4.52,9.98,4.27,True,88.6,玻璃行业,光伏/光伏概念/低碳经济,82.0
