symbol,name,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,ma_bull,weekly_cross,ml_score,sig_b1,sig_volume_b1,sig_zhixing,sig_needle,pattern_state,close,pct_change,yellow_line,above_yellow,float_mv_yi,sector,concepts,sector_score
000060,,1.0,0.3482,0.6748,0.7394,0.1812,0.5304,0.2716,0.0,0.136,0.0,0.0,0.0,0.7,0.6253,False,False,False,False,B1候B2,6.87,-6.91,7.51,False,305.1,有色金属,黄金概念/稀缺资源/金融参股,22.6
000505,,0.0,1.0,0.7494,0.0,0.0,0.8214,0.2303,0.0,0.0,0.0,0.0,0.5,0.0,0.4891,False,False,False,False,无明确战法态,5.19,-2.44,5.83,False,32.8,房地产,海南自贸/含B股/金融参股,27.4
001211,,0.7434,1.0,0.6674,0.0,0.0,0.7768,0.2044,0.0,0.0,0.0,0.0,0.0,0.0,0.7173,False,False,False,False,无明确战法态,22.2,-2.84,32.39,False,14.9,,,
001212,,1.0,1.0,0.7042,0.0801,0.0,0.8317,0.2358,0.6,0.0,0.0,0.0,0.0,0.0,0.678,False,False,False,False,无明确战法态,41.0,-2.19,49.41,False,7127.8,,有机硅概念,
001213,,0.0,1.0,0.8663,0.0,0.0,0.7396,0.3948,0.6,0.0,0.0,0.0,0.5,0.0,0.3711,False,False,False,False,无明确战法态,3.43,-1.72,3.7,False,152.4,,冷链物流/统一大市场,
001215,,0.0793,1.0,0.7443,0.1993,0.0,0.8075,0.2677,0.3,0.0,0.0,0.0,0.5,0.0,0.506,False,False,False,False,无明确战法态,35.2,-2.17,39.88,False,3410.9,,,
001216,,0.9314,1.0,0.8335,0.0,0.0,0.7886,0.2217,0.6,0.0,0.0,0.0,0.0,0.0,0.5897,False,False,False,False,无明确战法态,13.95,-0.43,16.56,False,3425.5,,NFT概念/柔性直流输电/牙科医疗,
001217,,0.0148,1.0,0.7696,0.0,0.0,0.6171,0.1592,0.3,0.0,0.0,0.0,0.5,0.0,0.5427,False,False,False,False,无明确战法态,8.71,-2.9,10.09,False,28.6,,染料,
001218,,0.0,1.0,0.7658,0.2545,0.0,0.4536,0.2694,0.6,0.3836,0.0,0.0,0.5,0.0,0.3263,False,False,False,False,无明确战法态,24.06,-1.72,24.88,False,28.4,,消毒剂,
001219,,0.0,1.0,0.8111,0.0,0.0,0.6851,0.1958,0.0,0.0,0.0,0.0,0.5,0.0,0.465,False,False,False,False,无明确战法态,12.0,-2.83,13.14,False,22.8,,网红经济/中韩自贸区,
001221,,0.0,0.6324,0.6292,0.0,0.0,0.2924,0.1234,0.3,0.0,0.0,0.0,0.5,0.0,0.5784,False,False,False,False,无明确战法态,39.88,-5.21,49.06,False,14.4,次新股,,23.8
001222,,0.0,1.0,0.7968,0.0,0.0,0.2472,0.1241,0.0,0.0,0.0,0.0,0.5,0.0,0.4568,False,False,False,False,无明确战法态,13.69,-0.65,15.91,False,15.5,,,
001223,,1.0,1.0,0.793,0.0,0.0,0.9008,0.2848,0.9,0.0,0.0,0.0,0.5,0.0,0.6477,False,False,False,False,无明确战法态,39.1,-2.86,50.95,False,19.5,,机器人概念/锂电池概念/举牌,
001225,,0.0377,0.676,0.5642,0.0,0.0,0.8337,0.1307,0.0,0.0,0.0,0.0,0.5,0.0,0.5546,False,False,False,False,无明确战法态,39.99,-4.94,47.4,False,841.3,,水泥概念,
001226,,0.059,0.9988,0.5414,0.5402,0.0,0.6206,0.3262,0.6,0.3863,0.0,0.0,0.0,0.7,0.405,False,False,False,False,B1候B2,47.09,-3.01,49.04,False,16.0,,专精特新,
001227,,0.0,1.0,0.9029,0.2223,0.0229,0.5515,0.3782,0.0,0.2013,0.0,0.0,0.0,0.0,0.4168,False,False,False,False,无明确战法态,2.04,-0.97,2.13,False,86.0,,参股券商,
001228,,0.0,0.806,0.5695,0.0,0.0373,0.6616,0.1915,0.3,0.2601,0.0,0.0,0.5,0.0,0.4164,False,False,False,False,无明确战法态,27.16,-4.16,28.46,False,2169.1,,航运概念/换电概念/统一大市场,
001229,,0.0,0.0,0.7129,0.0006,1.0,0.8452,1.0,0.9,1.0,0.0,0.0,1.0,0.0,0.3731,False,False,False,False,无明确战法态,38.82,10.0,33.97,True,20.5,,,
001230,,0.0,0.0,0.1456,0.0,0.0,0.1103,0.4068,0.3,0.0,0.0,1.0,0.0,0.0,0.5312,False,False,False,False,无明确战法态,17.42,9.97,21.72,False,13.7,,专精特新/垃圾分类,
001231,,0.0,0.8386,0.6728,0.0,0.0,0.5445,0.1272,0.0,0.0,0.0,0.0,0.5,0.0,0.5465,False,False,False,False,无明确战法态,18.39,-3.97,21.2,False,9.4,,,
001233,,0.5757,0.5601,0.5728,0.0,0.0,0.5318,0.0734,0.3,0.0,0.0,0.0,0.0,0.0,0.6488,False,False,False,False,无明确战法态,43.0,-5.64,53.75,False,15.2,次新股,俄乌冲突概念,23.8
002344,,0.0,1.0,0.837,0.0,0.0,0.7082,0.4315,0.0,0.0,0.0,0.0,0.5,0.0,0.3757,False,False,False,False,无明确战法态,3.59,-2.45,3.97,False,46.0,商业百货,金融改革/内贸规划/业绩预升,27.7
