strategy,symbol,last_signal,total_signals,signal_type
B1_FORMULA,000027,2026-06-12,180,
B1_FORMULA,000601,2026-06-12,131,
B1_FORMULA,000690,2026-06-12,165,
B1_FORMULA,000700,2026-06-12,125,
B1_FORMULA,000727,2026-06-12,159,
B1_FORMULA,000767,2026-06-12,166,
B1_FORMULA,000791,2026-06-12,189,
B1_FORMULA,000887,2026-06-12,106,
B1_FORMULA,000926,2026-06-12,129,
B1_FORMULA,000966,2026-06-12,136,
B1_FORMULA,001289,2026-06-12,72,
B1_FORMULA,002608,2026-06-12,161,
B1_FORMULA,002647,2026-06-12,80,
B1_FORMULA,002655,2026-06-12,80,
B1_FORMULA,002678,2026-06-12,113,
B1_FORMULA,002706,2026-06-12,106,
B1_FORMULA,002745,2026-06-12,101,
B1_FORMULA,002851,2026-06-12,96,
B1_FORMULA,002881,2026-06-12,79,
B1_FORMULA,002885,2026-06-12,80,
B1_FORMULA,002951,2026-06-12,90,
B1_FORMULA,002957,2026-06-12,94,
B1_FORMULA,002975,2026-06-12,80,
B1_FORMULA,002979,2026-06-12,91,
B1_FORMULA,300001,2026-06-12,115,
B1_FORMULA,300013,2026-06-12,106,
B1_FORMULA,300069,2026-06-12,104,
B1_FORMULA,300163,2026-06-12,111,
B1_FORMULA,300182,2026-06-12,118,
B1_FORMULA,300281,2026-06-12,107,
B1_FORMULA,300286,2026-06-12,102,
B1_FORMULA,300308,2026-06-12,62,
B1_FORMULA,300321,2026-06-12,96,
B1_FORMULA,300382,2026-06-12,61,
B1_FORMULA,300478,2026-06-12,106,
B1_FORMULA,300486,2026-06-12,127,
B1_FORMULA,300491,2026-06-12,76,
B1_FORMULA,300504,2026-06-12,75,
B1_FORMULA,300620,2026-06-12,98,
B1_FORMULA,300672,2026-06-12,84,
B1_FORMULA,300681,2026-06-12,63,
B1_FORMULA,300745,2026-06-12,79,
B1_FORMULA,300849,2026-06-12,88,
B1_FORMULA,300872,2026-06-12,64,
B1_FORMULA,300922,2026-06-12,79,
B1_FORMULA,300930,2026-06-12,67,
B1_FORMULA,300948,2026-06-12,57,
B1_FORMULA,300964,2026-06-12,56,
B1_FORMULA,301238,2026-06-12,62,
B1_FORMULA,301329,2026-06-12,22,
B1_FORMULA,301603,2026-06-12,28,
B1_FORMULA,301626,2026-06-12,27,
