symbol,name,score,rank,top_factors,sector,reason,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,sig_b1,sig_volume_b1,sig_zhixing,close,pct_change,float_mv_yi,strict_signal
301042,,100.0,1,"j_low(+0.25), trend_gap(+0.22), surge(+0.18)",,"j_low(+0.25), trend_gap(+0.22), surge(+0.18)",0.9459,1.0,0.7856,1.0,1.0,0.7435,0.6743,0.9,1.0,1.0,0.0,True,True,False,100.99,2.44,6714.9,True
300057,,95.56,2,"j_low(+0.28), trend_gap(+0.22), yangyin(+0.18)",,"j_low(+0.28), trend_gap(+0.22), yangyin(+0.18)",1.0,0.6935,0.5699,1.0,1.0,0.649,0.7282,0.9,1.0,1.0,0.0,False,True,False,8.26,-4.84,66.8,True
600150,,94.31,3,"yangyin(+0.33), trend_gap(+0.22), surge(+0.21)",,"yangyin(+0.33), trend_gap(+0.22), surge(+0.21)",0.7237,1.0,0.7414,1.0,1.0,0.5382,1.0,1.0,1.0,0.0,0.0,True,True,False,40.55,0.82,246197.4,True
002752,,93.17,4,"j_low(+0.25), vol_shrink(+0.18), trend_gap(+0.18)",,"j_low(+0.25), vol_shrink(+0.18), trend_gap(+0.18)",0.943,1.0,0.8156,0.9026,1.0,0.7814,0.6629,0.9,1.0,0.0,0.0,True,True,False,7.19,-0.55,7014.0,True
001368,,92.5,5,"j_low(+0.26), trend_gap(+0.20), surge(+0.18)",,"j_low(+0.26), trend_gap(+0.20), surge(+0.18)",0.9681,1.0,0.7551,0.9437,1.0,0.7086,0.445,0.9,0.8708,1.0,0.0,True,False,False,28.76,0.63,3112.2,True
000990,,92.1,6,"j_low(+0.28), vol_shrink(+0.23), trend_gap(+0.22)",,"j_low(+0.28), vol_shrink(+0.23), trend_gap(+0.22)",1.0,1.0,0.7562,1.0,1.0,0.872,0.3372,0.6,1.0,1.0,0.0,True,False,False,11.2,-0.09,13610.7,True
300097,,91.98,7,"j_low(+0.28), trend_gap(+0.22), bowl(+0.14)",,"j_low(+0.28), trend_gap(+0.22), bowl(+0.14)",1.0,1.0,0.7487,1.0,1.0,0.6831,0.5049,0.6,1.0,1.0,0.0,True,False,False,10.37,-2.26,28.0,True
603698,,91.93,8,"trend_gap(+0.22), j_low(+0.21), surge(+0.18)",,"trend_gap(+0.22), j_low(+0.21), surge(+0.18)",0.8645,1.0,0.6558,1.0,1.0,0.7167,0.4872,0.9,0.8713,1.0,0.0,True,False,False,38.74,-2.44,20764.3,True
300916,,91.27,9,"yangyin(+0.33), trend_gap(+0.22), surge(+0.18)",,"yangyin(+0.33), trend_gap(+0.22), surge(+0.18)",0.6448,1.0,0.7692,1.0,1.0,0.5045,1.0,0.9,1.0,0.0,0.0,True,False,False,37.5,1.41,3727.3,True
002176,,91.23,10,"j_low(+0.28), trend_gap(+0.22), surge(+0.18)",,"j_low(+0.28), trend_gap(+0.22), surge(+0.18)",1.0,1.0,0.6727,1.0,1.0,0.639,0.3631,0.9,1.0,1.0,0.0,True,False,False,13.45,-2.89,22911.1,True
