symbol,name,score,rank,top_factors,sector,reason,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,ma_bull,weekly_cross,ml_score,sig_b1,sig_volume_b1,sig_zhixing,close,pct_change,float_mv_yi,strict_signal,sector_score,strategies,concepts
301149,,100.0,1,"j_low(+0.22), yangyin(+0.20), trend_gap(+0.20)",,"j_low(+0.22), yangyin(+0.20), trend_gap(+0.20)",0.9704,1.0,0.7466,0.9893,1.0,0.7066,0.7829,0.9,0.7308,1.0,0.0,0.5,1.0,0.3786,True,False,False,13.12,1.78,34.3,True,,B1+周线金叉,
300165,,96.32,2,"j_low(+0.24), trend_gap(+0.21), vol_shrink(+0.17)",仪器仪表,"j_low(+0.24), trend_gap(+0.21), vol_shrink(+0.17)",1.0,1.0,0.8168,1.0,1.0,0.8525,0.6346,0.6,1.0,1.0,0.0,0.5,1.0,0.3338,True,False,False,6.74,2.9,28.3,True,72.0,B1+周线金叉,
603278,,93.73,3,"yangyin(+0.32), j_low(+0.24), trend_gap(+0.21)",,"yangyin(+0.32), j_low(+0.24), trend_gap(+0.21)",1.0,1.0,0.5094,1.0,1.0,0.2197,1.0,0.9,1.0,1.0,0.0,0.5,1.0,0.3352,True,True,False,14.18,2.31,48.5,True,,B1+量能B1+周线金叉,
600023,,93.25,4,"yangyin(+0.32), j_low(+0.24), trend_gap(+0.18)",电力行业,"yangyin(+0.32), j_low(+0.24), trend_gap(+0.18)",1.0,1.0,0.8015,0.9489,1.0,0.495,1.0,0.6,0.7136,1.0,0.0,1.0,0.7,0.3105,True,False,False,5.75,0.7,771.1,True,64.1,B1,
301259,,93.19,5,"j_low(+0.24), trend_gap(+0.21), bowl(+0.13)",,"j_low(+0.24), trend_gap(+0.21), bowl(+0.13)",1.0,1.0,0.8407,1.0,1.0,0.5732,0.6313,0.6,0.7193,1.0,0.0,0.5,1.0,0.3913,True,False,False,39.11,0.46,35.9,True,,B1+周线金叉,
600189,,92.98,6,"j_low(+0.20), surge(+0.18), yangyin(+0.16)",农林牧渔,"j_low(+0.20), surge(+0.18), yangyin(+0.16)",0.9105,1.0,0.8424,0.8702,1.0,0.641,0.7026,0.9,0.7796,1.0,0.0,1.0,1.0,0.3039,True,False,False,8.41,-0.59,60.1,True,30.3,B1+周线金叉,
300467,,91.37,7,"j_low(+0.21), trend_gap(+0.21), bowl(+0.13)",,"j_low(+0.21), trend_gap(+0.21), bowl(+0.13)",0.9495,1.0,0.8243,1.0,1.0,0.5338,0.5644,0.6,1.0,1.0,0.0,0.5,1.0,0.379,True,False,False,38.14,0.5,64.9,True,,B1+周线金叉,
600724,,90.78,8,"j_low(+0.24), trend_gap(+0.21), ml_score(+0.19)",房地产,"j_low(+0.24), trend_gap(+0.21), ml_score(+0.19)",1.0,1.0,0.8108,1.0,1.0,0.8561,0.2897,0.0,1.0,1.0,0.0,0.5,1.0,0.4716,True,False,False,7.38,-0.27,106.6,True,17.0,B1+周线金叉,
301157,,89.83,9,"j_low(+0.24), trend_gap(+0.21), vol_shrink(+0.16)",,"j_low(+0.24), trend_gap(+0.21), vol_shrink(+0.16)",1.0,1.0,0.7608,1.0,1.0,0.8309,0.3941,0.6,1.0,1.0,0.0,0.5,0.7,0.3504,True,False,False,76.21,2.43,15.7,True,,B1,
300381,,89.72,10,"j_low(+0.24), surge(+0.18), bowl(+0.13)",农林牧渔,"j_low(+0.24), surge(+0.18), bowl(+0.13)",1.0,1.0,0.8283,0.7923,1.0,0.7244,0.4406,0.9,0.7392,1.0,0.0,0.5,1.0,0.3499,True,False,False,7.05,0.86,33.7,True,30.3,B1+周线金叉,
