symbol,name,score,rank,top_factors,sector,reason,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,ma_bull,weekly_cross,ml_score,sig_b1,sig_volume_b1,sig_zhixing,close,pct_change,yellow_line,above_yellow,float_mv_yi,concepts,sector_score,strict_signal,strategies
300163,,100.0,1,"j_low(+0.48), vol_shrink(+0.22), yangyin(+0.21)",建筑建材,"j_low(+0.48), vol_shrink(+0.22), yangyin(+0.21)",0.9569,1.0,0.7051,1.0,1.0,0.7857,0.8041,0.9,1.0,0.0,0.0,1.0,1.0,0.3102,True,False,False,6.22,-1.74,5.57,True,28.4,专精特新,18.0,True,B1+周线金叉
600578,,98.59,2,"j_low(+0.50), yangyin(+0.18), surge(+0.17)",电力行业,"j_low(+0.50), yangyin(+0.18), surge(+0.17)",1.0,0.8787,0.5973,1.0,1.0,0.4402,0.7601,0.9,1.0,1.0,0.0,0.0,1.0,0.4243,False,True,False,7.49,-3.73,7.23,True,50142.7,低碳经济/风能概念/业绩预升,42.1,True,量能B1+周线金叉
300922,,97.08,3,"j_low(+0.49), yangyin(+0.33), vol_shrink(+0.11)",,"j_low(+0.49), yangyin(+0.33), vol_shrink(+0.11)",0.9753,1.0,0.7334,1.0,1.0,0.5642,0.9986,0.6,1.0,0.0,0.0,1.0,1.0,0.2973,True,False,False,23.78,0.08,21.95,True,2964.7,专精特新,,True,B1+周线金叉
300964,,92.05,4,"j_low(+0.50), vol_shrink(+0.17), trend_gap(+0.11)",,"j_low(+0.50), vol_shrink(+0.17), trend_gap(+0.11)",1.0,1.0,0.4301,1.0,1.0,0.6724,0.5813,0.6,0.973,1.0,0.0,0.5,0.7,0.3888,True,False,False,87.31,-2.57,85.65,True,4890.2,专精特新,,True,B1
002608,,90.23,5,"j_low(+0.50), trend_gap(+0.11), ql_pos(-0.10)",船舶制造,"j_low(+0.50), trend_gap(+0.11), ql_pos(-0.10)",1.0,1.0,0.7025,1.0,1.0,0.4717,0.6143,0.6,0.7561,1.0,1.0,0.5,1.0,0.3708,True,False,False,8.76,0.23,8.64,True,331.0,固态电池/ST板块/海工装备,15.3,True,B1+周线金叉
603725,,88.9,6,"j_low(+0.47), ml_score(+0.22), surge(+0.20)",,"j_low(+0.47), ml_score(+0.22), surge(+0.20)",0.9406,1.0,0.586,1.0,1.0,0.5424,0.3051,1.0,0.6859,1.0,0.0,0.5,1.0,0.4535,True,False,False,10.88,-2.07,10.84,True,3118.8,专精特新,,True,B1+周线金叉
603031,,88.33,7,"j_low(+0.50), ml_score(+0.26), vol_shrink(+0.19)",,"j_low(+0.50), ml_score(+0.26), vol_shrink(+0.19)",1.0,1.0,0.5956,1.0,1.0,0.7222,0.3666,0.0,1.0,1.0,0.0,0.5,0.7,0.4704,True,False,False,50.83,-1.49,48.91,True,15980.5,,,True,B1
000700,,88.05,8,"j_low(+0.45), surge(+0.20), trend_gap(+0.11)",汽车制造,"j_low(+0.45), surge(+0.20), trend_gap(+0.11)",0.9065,1.0,0.6546,1.0,1.0,0.5246,0.4631,1.0,0.8993,1.0,0.0,0.5,1.0,0.3237,True,False,False,14.4,-1.84,14.2,True,132.2,民营医院/业绩预升,18.0,True,B1+周线金叉
301030,,87.23,9,"j_low(+0.27), yangyin(+0.26), vol_shrink(+0.24)",,"j_low(+0.27), yangyin(+0.26), vol_shrink(+0.24)",0.606,1.0,0.7489,0.8764,1.0,0.8389,0.8819,0.6,0.7009,1.0,0.0,0.5,1.0,0.3483,True,False,False,12.72,1.92,12.31,True,2570.8,,,True,B1+周线金叉
002655,,87.17,10,"j_low(+0.44), ml_score(+0.28), vol_shrink(+0.26)",电子器件,"j_low(+0.44), ml_score(+0.28), vol_shrink(+0.26)",0.8956,1.0,0.5438,1.0,1.0,0.8735,0.38,0.0,1.0,1.0,0.0,0.0,0.7,0.4825,True,False,False,33.2,-2.06,30.96,True,120.5,无线耳机/小米概念/黄河三角,39.8,True,B1
002957,,87.01,11,"j_low(+0.50), vol_shrink(+0.22), trend_gap(+0.11)",,"j_low(+0.50), vol_shrink(+0.22), trend_gap(+0.11)",1.0,1.0,0.4602,1.0,1.0,0.7876,0.3767,0.3,1.0,1.0,0.0,0.5,0.7,0.3873,True,False,False,50.35,-2.93,47.28,True,21080.5,,,True,B1
002885,,86.59,12,"j_low(+0.46), vol_shrink(+0.27), ml_score(+0.20)",,"j_low(+0.46), vol_shrink(+0.27), ml_score(+0.20)",0.9317,1.0,0.5846,1.0,1.0,0.884,0.4994,0.0,0.7962,1.0,0.0,0.0,1.0,0.4404,True,False,False,37.52,-2.6,37.36,True,8901.8,光伏概念/华为概念,,True,B1+周线金叉
601138,,86.17,13,"j_low(+0.50), vol_shrink(+0.22), trend_gap(+0.11)",,"j_low(+0.50), vol_shrink(+0.22), trend_gap(+0.11)",1.0,1.0,0.7833,1.0,1.0,0.7799,0.3879,0.3,1.0,1.0,0.0,0.5,0.7,0.3402,True,False,False,70.13,0.88,67.09,True,1391666.2,,,True,B1
300745,,85.85,14,"j_low(+0.50), vol_shrink(+0.23), trend_gap(+0.11)",,"j_low(+0.50), vol_shrink(+0.23), trend_gap(+0.11)",1.0,1.0,0.7593,1.0,1.0,0.8144,0.5965,0.3,1.0,1.0,0.0,0.0,0.7,0.2926,True,False,False,40.47,0.1,39.44,True,5756.0,,,True,B1
