symbol,name,score,rank,top_factors,sector,reason,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,ma_bull,weekly_cross,ml_score,sig_b1,sig_volume_b1,sig_zhixing,sig_needle,close,pct_change,yellow_line,above_yellow,float_mv_yi,concepts,sector_score,strict_signal,strategies
600985,,97.99,1,"j_low(+0.73), yangyin(+0.24), surge(+0.18)",化工行业,"j_low(+0.73), yangyin(+0.24), surge(+0.18)",0.8048,0.6641,0.6575,1.0,1.0,0.5702,0.8379,0.9,1.0,1.0,0.0,0.5,0.7,0.3394,False,True,False,False,15.53,-5.02,14.68,True,41826.3,皖江区域/煤化工概念/煤炭概念,59.2,True,量能B1
300665,,94.42,2,"j_low(+0.67), vol_shrink(+0.26), surge(+0.18)",,"j_low(+0.67), vol_shrink(+0.26), surge(+0.18)",0.7501,1.0,1.0,1.0,1.0,1.0,0.4877,0.9,0.9269,1.0,0.0,1.0,1.0,0.2297,True,False,False,False,9.8,0.0,9.43,True,2136.5,专精特新/地下管网/农业种植,,True,B1+周线金叉
601963,,94.16,3,"j_low(+0.86), surge(+0.18), vol_shrink(+0.11)",,"j_low(+0.86), surge(+0.18), vol_shrink(+0.11)",1.0,1.0,0.8623,0.9371,1.0,0.6147,0.4519,0.9,0.7535,1.0,0.0,0.5,1.0,0.3337,True,False,False,False,11.48,-1.2,11.26,True,23350.7,举牌,,True,B1+周线金叉
002608,,93.62,4,"j_low(+0.69), yangyin(+0.13), trend_gap(+0.12)",船舶制造,"j_low(+0.69), yangyin(+0.13), trend_gap(+0.12)",0.767,1.0,0.6448,1.0,1.0,0.4601,0.6603,0.6,1.0,1.0,0.0,0.5,1.0,0.366,True,False,False,False,9.1,1.0,8.71,True,343.8,固态电池/业绩预升/信托概念,27.2,True,B1+周线金叉
300715,,93.57,5,"j_low(+0.86), ml_score(+0.15), trend_gap(+0.12)",,"j_low(+0.86), ml_score(+0.15), trend_gap(+0.12)",1.0,1.0,0.6445,1.0,1.0,0.5144,0.3648,0.6,0.9605,1.0,0.0,0.5,0.7,0.4134,True,False,False,False,19.06,-0.37,18.68,True,6145.7,专精特新/核电/OLED,,True,B1
601101,,92.81,6,"j_low(+0.86), vol_shrink(+0.18), trend_gap(+0.12)",煤炭行业,"j_low(+0.86), vol_shrink(+0.18), trend_gap(+0.12)",0.9537,1.0,0.7082,1.0,1.0,0.7482,0.4034,0.3,1.0,1.0,0.0,0.5,0.7,0.3562,True,False,False,False,11.78,-0.84,11.05,True,16963.2,稀缺资源,44.3,True,B1
300710,,91.28,7,"j_low(+0.85), vol_shrink(+0.17), trend_gap(+0.12)",,"j_low(+0.85), vol_shrink(+0.17), trend_gap(+0.12)",0.9302,1.0,0.7256,1.0,1.0,0.7303,0.513,0.3,0.8819,1.0,0.0,0.0,1.0,0.3382,True,False,False,False,36.25,-1.2,35.79,True,2703.5,电子竞技/手机游戏/WiFi 6,,True,B1+周线金叉
603725,,90.23,8,"j_low(+0.74), surge(+0.18), ml_score(+0.14)",,"j_low(+0.74), surge(+0.18), ml_score(+0.14)",0.8148,1.0,0.6242,1.0,1.0,0.6497,0.3204,0.9,0.7036,1.0,1.0,0.0,1.0,0.4065,True,False,False,False,10.95,-0.45,10.82,True,3138.9,专精特新,,True,B1+周线金叉
002823,,88.88,9,"j_low(+0.76), vol_shrink(+0.13), trend_gap(+0.12)",,"j_low(+0.76), vol_shrink(+0.13), trend_gap(+0.12)",0.8371,1.0,0.8243,1.0,1.0,0.6495,0.3743,0.6,0.7448,1.0,1.0,0.5,1.0,0.3346,True,False,False,False,17.35,-0.57,17.14,True,38.0,,,True,B1+周线金叉
600011,,88.52,10,"j_low(+0.86), ql_pos(-0.18), yangyin(+0.13)",电力行业,"j_low(+0.86), ql_pos(-0.18), yangyin(+0.13)",1.0,1.0,0.7601,1.0,1.0,0.5252,0.6515,0.0,0.6444,1.0,0.0,0.5,1.0,0.3872,True,False,False,False,7.88,-2.23,7.88,True,866.6,光伏/雄安新区/低碳经济,65.3,True,B1+周线金叉
300478,,88.25,11,"j_low(+0.80), vol_shrink(+0.14), trend_gap(+0.12)",,"j_low(+0.80), vol_shrink(+0.14), trend_gap(+0.12)",0.8857,1.0,0.6756,1.0,1.0,0.6601,0.4022,0.3,1.0,1.0,0.0,0.0,0.7,0.3752,True,False,False,False,37.82,-2.63,36.26,True,4790.8,核电,,True,B1
601918,,87.39,12,"j_low(+0.84), trend_gap(+0.12), bowl(+0.10)",煤炭行业,"j_low(+0.84), trend_gap(+0.12), bowl(+0.10)",0.9215,1.0,0.6392,1.0,1.0,0.508,0.4308,0.3,1.0,1.0,0.0,0.5,0.7,0.3385,True,False,False,False,9.45,2.27,9.14,True,24480.6,业绩预降/社保重仓/信托重仓,44.3,True,B1
601001,,86.92,13,"j_low(+0.84), trend_gap(+0.12), bowl(+0.10)",煤炭行业,"j_low(+0.84), trend_gap(+0.12), bowl(+0.10)",0.922,1.0,0.6096,1.0,1.0,0.5014,0.3904,0.3,1.0,1.0,0.0,0.5,0.7,0.3492,True,False,False,False,19.59,-0.25,18.62,True,32787.8,稀缺资源/煤炭概念,44.3,True,B1
605018,,86.72,14,"j_low(+0.86), trend_gap(+0.12), bowl(+0.10)",,"j_low(+0.86), trend_gap(+0.12), bowl(+0.10)",1.0,1.0,0.7443,1.0,1.0,0.3027,0.3465,0.6,1.0,1.0,0.0,0.5,0.7,0.335,True,False,False,False,15.04,-2.21,14.13,True,7069.8,飞行汽车(eVTOL)/共同富裕示范区/工业互联网,,True,B1
601699,,86.25,15,"j_low(+0.71), vol_shrink(+0.13), trend_gap(+0.12)",煤炭行业,"j_low(+0.71), vol_shrink(+0.13), trend_gap(+0.12)",0.7919,1.0,0.7424,1.0,1.0,0.647,0.4477,0.3,1.0,0.0,0.0,0.5,1.0,0.3543,True,False,False,False,17.5,-0.57,15.99,True,52349.7,社保重仓/基金重仓,44.3,True,B1+周线金叉
002647,,84.95,16,"j_low(+0.83), vol_shrink(+0.26), yangyin(-0.21)",电器行业,"j_low(+0.83), vol_shrink(+0.26), yangyin(-0.21)",0.912,1.0,0.7772,1.0,0.5346,0.9105,0.0582,0.3,0.9034,1.0,0.0,0.5,0.7,0.3784,True,False,False,False,11.53,-1.2,11.49,True,117.1,数字货币/移动支付,28.3,True,B1
000600,,84.83,17,"j_low(+0.78), trend_gap(+0.12), bowl(+0.10)",电力行业,"j_low(+0.78), trend_gap(+0.12), bowl(+0.10)",0.8554,1.0,0.5768,1.0,1.0,0.5255,0.4849,0.3,0.9177,1.0,0.0,0.5,1.0,0.2972,True,False,False,False,10.51,2.64,10.26,True,114.6,碳中和/碳交易/业绩预升,65.3,True,B1+周线金叉
600714,,84.8,18,"j_low(+0.75), vol_shrink(+0.16), trend_gap(+0.12)",有色金属,"j_low(+0.75), vol_shrink(+0.16), trend_gap(+0.12)",0.8246,1.0,0.6258,1.0,1.0,0.7023,0.4722,0.0,1.0,1.0,0.0,0.0,1.0,0.3297,True,False,False,False,27.78,-1.94,25.25,True,8005.5,稀缺资源/业绩预升,62.0,True,B1+周线金叉
