symbol,name,score,rank,top_factors,sector,reason,j_low,pct_calm,amplitude,trend_gap,dif,vol_shrink,yangyin,surge,ql_pos,bowl,washout_recover,ma_bull,weekly_cross,ml_score,sig_b1,sig_volume_b1,sig_zhixing,sig_needle,pattern_state,close,pct_change,yellow_line,above_yellow,float_mv_yi,concepts,sector_score,strict_signal,strategies
603156,,100.0,1,"vol_shrink(+0.51), amplitude(+0.39), j_low(+0.24)",,"vol_shrink(+0.51), amplitude(+0.39), j_low(+0.24)",1.0,1.0,0.7249,1.0,1.0,0.8722,0.4155,0.0,1.0,1.0,0.0,0.5,0.7,0.3717,True,False,False,False,B1候B2,43.8,-0.14,41.9,True,55200.2,超级品牌/创投/高股息精选,,True,B1
603663,,99.98,2,"amplitude(+0.41), vol_shrink(+0.39), j_low(+0.24)",,"amplitude(+0.41), vol_shrink(+0.39), j_low(+0.24)",1.0,1.0,0.7351,1.0,1.0,0.7761,0.3334,0.0,1.0,1.0,0.0,0.5,0.7,0.4383,True,False,False,False,B1候B2,80.68,-1.05,72.26,True,34113.1,专精特新,,True,B1
300613,,99.9,3,"vol_shrink(+0.39), amplitude(+0.28), ml_score(+0.25)",,"vol_shrink(+0.39), amplitude(+0.28), ml_score(+0.25)",0.9766,1.0,0.6718,1.0,1.0,0.7782,0.4092,0.0,1.0,1.0,0.0,0.5,0.7,0.5212,True,False,False,False,B1候B2,70.9,-1.12,63.82,True,15569.6,专精特新/鸿蒙概念/智能家居,,True,B1
300201,,99.24,4,"vol_shrink(+0.48), amplitude(+0.30), j_low(+0.22)",机械行业,"vol_shrink(+0.48), amplitude(+0.30), j_low(+0.22)",0.9483,1.0,0.6822,1.0,1.0,0.8481,0.1839,0.3,1.0,1.0,0.0,0.5,0.7,0.4384,True,False,False,False,B1候B2,17.65,0.17,16.79,True,177.1,国防军工/军工航天/智能机器,32.0,True,B1
300209,,98.7,5,"vol_shrink(+0.53), amplitude(+0.25), j_low(+0.21)",电子信息,"vol_shrink(+0.53), amplitude(+0.25), j_low(+0.21)",0.9199,1.0,0.6519,1.0,1.0,0.8813,0.2853,0.0,1.0,1.0,0.0,0.5,0.7,0.4419,True,False,False,False,B1候B2,25.45,2.21,24.02,True,186.9,物联网/跨境电商/柔性屏(折叠屏),16.9,True,B1
300786,,98.52,6,"vol_shrink(+0.41), amplitude(+0.40), j_low(+0.24)",,"vol_shrink(+0.41), amplitude(+0.40), j_low(+0.24)",1.0,1.0,0.7304,1.0,1.0,0.7884,0.4945,0.0,1.0,1.0,0.0,0.5,0.7,0.3953,True,False,False,False,B1候B2,20.84,-2.02,20.01,True,3057.4,专精特新/光刻机/空气能热泵,,True,B1
688478,,98.46,7,"vol_shrink(+0.42), amplitude(+0.26), j_low(+0.24)",,"vol_shrink(+0.42), amplitude(+0.26), j_low(+0.24)",1.0,1.0,0.6582,1.0,1.0,0.8006,0.2451,0.3,1.0,1.0,0.0,0.5,0.7,0.4764,True,False,False,False,B1候B2,68.59,-0.09,65.49,True,9490.5,第三代半导体/股权转让(并购重组)/海峡两岸,,True,B1
300776,,98.22,8,"vol_shrink(+0.51), j_low(+0.24), pct_calm(+0.20)",,"vol_shrink(+0.51), j_low(+0.24), pct_calm(+0.20)",1.0,1.0,0.6298,1.0,1.0,0.8714,0.2641,0.0,1.0,1.0,0.0,0.5,0.7,0.4472,True,False,False,False,B1候B2,163.28,-2.08,152.02,True,27444.9,光伏/HIT电池/光伏概念,,True,B1
301055,,97.9,9,"vol_shrink(+0.45), amplitude(+0.37), j_low(+0.24)",,"vol_shrink(+0.45), amplitude(+0.37), j_low(+0.24)",1.0,1.0,0.7159,1.0,1.0,0.8192,0.2898,0.3,1.0,1.0,0.0,0.5,0.7,0.3719,True,False,False,False,B1候B2,40.05,-1.35,36.54,True,6247.8,超级品牌/NFT概念,,True,B1
601901,,97.07,10,"amplitude(+0.64), vol_shrink(+0.28), pct_calm(+0.20)",金融行业,"amplitude(+0.64), vol_shrink(+0.28), pct_calm(+0.20)",0.7215,1.0,0.8527,0.5223,1.0,0.6917,0.4007,0.9,0.554,0.0,0.0,1.0,0.0,0.3451,True,False,False,False,B1候B2,7.11,-1.8,7.08,True,58530.2,长株潭/高校背景,39.0,True,B1
600522,,97.02,11,"vol_shrink(+0.38), amplitude(+0.38), j_low(+0.24)",电子信息,"vol_shrink(+0.38), amplitude(+0.38), j_low(+0.24)",1.0,1.0,0.7224,1.0,1.0,0.7707,0.5787,0.0,0.9921,1.0,0.0,0.5,0.7,0.3806,True,False,False,False,B1候B2,47.27,-1.58,47.14,True,161330.1,碳中和/光伏/5G概念,16.9,True,B1
