rank,sector,score,tags,note,members
1,电子器件,46.5,科技,平量+白>黄,152
2,化工行业,46.5,顺周期,平量+白>黄,150
3,食品行业,39.0,消费,平量,58
4,金融行业,39.0,红利,平量+5日+2.4%,51
5,服装鞋类,39.0,,平量+5日+3.2%,49
6,玻璃行业,38.0,顺周期,平量+白>黄,19
7,生物制药,37.6,医药,平量+5日+3.9%,155
8,医疗器械,37.4,医药,平量,31
9,家具行业,37.0,消费,平量,16
10,纺织行业,34.6,,平量,42
11,公路桥梁,33.5,防御/红利,平量+5日+4.1%,20
12,交通运输,32.3,顺周期,平量,87
13,机械行业,32.0,顺周期/科技,平量,211
14,物资外贸,31.8,,缩量,21
15,船舶制造,31.0,顺周期,平量,8
16,开发区,30.8,,缩量,10
17,造纸行业,30.7,顺周期,平量+5日+6.4%,24
18,水泥行业,30.6,顺周期,平量,26
19,农药化肥,30.3,,缩量,46
20,钢铁行业,30.1,顺周期,平量+5日+2.8%,60
21,酒店旅游,29.8,消费,平量,35
22,家电行业,29.4,消费,缩量,37
23,汽车制造,29.4,顺周期/消费,平量,103
24,化纤行业,28.5,顺周期,缩量,26
25,环保行业,28.4,防御,平量,27
26,传媒娱乐,28.1,科技,平量,40
27,飞机制造,28.1,,平量,14
28,供水供气,27.8,,平量+5日+2.6%,25
29,商业百货,27.7,消费,平量,93
30,印刷包装,27.7,消费,平量,20
31,其它行业,27.5,,平量,160
32,建筑建材,27.5,,平量,91
33,房地产,27.4,顺周期,平量,123
34,煤炭行业,26.5,顺周期/红利,平量+5日+2.4%,41
35,石油行业,26.5,顺周期/红利,平量,24
36,农林牧渔,26.5,消费/防御,平量+5日+2.1%,64
37,仪器仪表,25.4,科技,平量,48
38,综合行业,24.6,,缩量,33
39,酿酒行业,24.5,消费,缩量,33
40,次新股,23.8,,平量,135
41,有色金属,22.6,顺周期,缩量,72
42,塑料制品,20.1,,缩量,33
43,发电设备,18.0,,平量,65
44,电子信息,16.9,科技,平量,247
45,电力行业,16.4,防御/红利,平量,62
46,电器行业,14.5,科技/消费,缩量,58
