date,open,high,low,close,volume,amount,turn
2020-01-02,10.154152,10.4203288,10.0851432,10.3611784,21364276,223002131.13,1.938900
2020-01-03,10.3611784,10.7357976,10.2724528,10.696364,31165854,332465171.77,2.828400
2020-01-06,10.8639568,11.1301336,10.548488,10.7555144,34082175,373412843.13,3.093100
2020-01-07,10.6667888,11.2977264,10.647072,11.2484344,41202113,461684656.77,3.739300
2020-01-08,11.4258856,11.534328,11.041408,11.2287176,34394113,393128848.91,3.121400
2020-01-09,11.139992,11.4061688,11.0019744,11.33716,33422684,380898401.65,3.033300
2020-01-10,11.33716,11.4160272,11.1498504,11.2090008,17955162,204728131.05,1.629500
2020-01-13,11.1597088,11.3075848,11.0808416,11.2681512,14749071,168132193.41,1.338500
2020-01-14,11.287868,11.3174432,11.1104168,11.1794256,15376720,174414818.08,1.395500
2020-01-15,11.1695672,11.2188592,10.9231072,11.139992,17040475,191635600.77,1.546500
2020-01-16,11.1597088,11.879372,11.1202752,11.8497968,44911812,531015546.03,4.076000
2020-01-17,11.8399384,11.8695136,11.5540448,11.58362,18269577,216533654.12,1.658000
2020-01-20,12.1849824,12.7469112,11.9878144,12.7469112,66421491,846813821.75,6.028100
2020-01-21,12.8750704,13.5651584,12.7469112,13.0032296,68311102,906196661.31,6.199500
2020-01-22,12.963796,13.3482736,12.7567696,13.2398312,41488196,550140140.14,3.765200
2020-01-23,13.013088,13.8313352,12.9243624,13.111672,50600931,683692976.48,4.592300
2020-02-03,11.8005048,12.1159736,11.8005048,11.8005048,42622211,511691893.66,3.868200
2020-02-04,11.83008,12.668044,11.83008,12.421584,45799925,576190114.74,4.156600
2020-02-05,12.5398848,13.1511056,12.372292,12.8947872,45781520,594125842.38,4.154900
2020-02-06,12.865212,13.4862912,12.5793184,13.4862912,53531801,710827292.37,4.858300
2020-02-07,13.4271408,13.456716,13.06238,13.1708224,52712185,706915180.41,4.783900
2020-02-10,12.914504,14.2355296,12.8750704,13.998928,53872621,743737992.83,4.889200
2020-02-11,13.703176,13.9693528,13.4764328,13.703176,33736457,468716654.97,3.061700
2020-02-12,13.5454416,13.7426096,13.1708224,13.6341672,33394218,456132052.2,3.030700
2020-02-13,13.703176,13.703176,12.9835128,12.9933712,38654276,519909379.91,3.508100
2020-02-14,12.914504,13.456716,12.8257784,13.06238,29723752,397060686.37,2.697600
2020-02-17,13.407424,14.3735472,13.407424,14.3735472,56174664,812047829.08,5.098100
2020-02-18,15.0932104,15.625564,14.8960424,15.28052,106572432,1646878841.8,9.671900
2020-02-19,14.935476,15.3593872,14.6298656,14.6495824,58629416,888877481.75,5.320900
